Category,Category_Size,Cosine_Similarity_Score
Tokyo Institute of Technology alumni,2.0,0.8190701970467732
Civil parishes in Kent,6.0,0.6009168241813589
Ukrainian coats of arms,1.0,1.0
Calgary Stampeders (WHL) players,2.0,0.7470778443454671
1960s rediscovered films,2.0,0.8962016069913427
Political parties in Haryana,1.0,1.0
"People from Sea Gate, Brooklyn",1.0,1.0000000000000002
1982 deaths,100.0,0.1347607370209641
1957 Australian television series debuts,3.0,0.7526512828399957
Video games developed in Sweden,5.0,0.5417426513813243
Agricultural establishments,1.0,1.0
Gaelic football clubs in County Cork,4.0,0.5597896151699775
Austrian educational theorists,1.0,0.9999999999999993
1794 deaths,10.0,0.3917793330282774
Al Ain FC managers,1.0,1.0
History museums in Japan,3.0,0.5442530796946813
Songs about letters (message),2.0,0.7463250852085266
Bat genera,6.0,0.26979688639895305
Jagiellonian University alumni,7.0,0.43986570677235154
1936 deaths,72.0,0.16245497779726586
Sarah Vaughan songs,1.0,1.0
Food and drink companies based in Mumbai,1.0,1.0000000000000002
English Football League players,513.0,0.17356608319627198
20th-century Mexican actresses,6.0,0.44501675995332085
British musical documentary films,5.0,0.4472273283409907
Brooklyn College alumni,20.0,0.27332531021569506
Steam locomotives of Sudan,1.0,1.0
Maffra Football Club players,1.0,1.0000000000000004
Tram vehicles of Poland,1.0,0.9999999999999951
Who Wants to Be a Millionaire?,1.0,1.0
Recipients of the Astrid Lindgren Prize,1.0,1.0
2021 Copa América players,2.0,0.8122614503814101
Sangguniang Kabataan elections,1.0,1.0
Masters of the stewards,1.0,1.0000000000000002
Footballers from West Lothian,6.0,0.5100212753999961
American musicians of Korean descent,2.0,0.7168054176304066
Films directed by Ralph Fiennes,1.0,1.0
21st-century American biologists,17.0,0.36754142643379006
England Test cricketers,21.0,0.48925623005203545
Toledo Rockets football players,3.0,0.640112418326777
Asian Games bronze medalists for South Korea,18.0,0.3126352600526054
Asian Games competitors for China,10.0,0.288868399786511
Campeonato Brasileiro Série A players,81.0,0.25520779345719197
Ascoli Calcio 1898 F.C. players,12.0,0.44291729465085133
Airliner accidents and incidents caused by in-flight structural failure,5.0,0.7164665570830298
Indian game shows,3.0,0.6428728447613806
Sailors at the 1976 Summer Olympics – 470,3.0,0.8183713439672141
Niagara Falls Flyers players,4.0,0.5218190549497225
Women municipal councillors in Canada,8.0,0.4186128958179015
Cambridge United F.C. players,18.0,0.3868662280199577
French-American culture by city,1.0,1.0
Larkhall Thistle F.C. players,2.0,0.7825402161583963
"Sportspeople from Redwood City, California",3.0,0.6160815917928165
Crambinae,13.0,0.2875770998691206
People from Haugesund,3.0,0.6149767806022451
Boys' schools in South Australia,1.0,1.0000000000000002
Communes of Haute-Savoie,5.0,0.5319613181619388
Voivodes of Transylvania Andrew,1.0,1.0000000000000004
"Sandy Bay, Hong Kong",1.0,1.0000000000000002
